상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
11601771,마포만두,을지로점,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114060500,을지로동,1114015500,을지로3가,1.11402E+18,1,대지,295,4,서울특별시 중구 을지로3가 295-4,1.11404E+11,서울특별시 중구 충무로7길,6,,1.11402E+24,양지빌딩,서울특별시 중구 충무로7길 6,100846,4550,,,,126.9922961,37.56594448
25864459,양지국수보쌈,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114059000,광희동,1114014700,쌍림동,1.11401E+18,1,대지,34,5,서울특별시 중구 쌍림동 34-5,1.11403E+11,서울특별시 중구 마른내로,133,,1.11401E+24,,서울특별시 중구 마른내로 133,100400,4561,,1,,127.0029183,37.56475519
25847063,배스킨라빈스31,황학이마트점,Q,음식,Q07,패스트푸드,Q07A07,아이스크림판매,I56191,제과점업,11,서울특별시,11140,중구,1114067000,황학동,1114016500,황학동,1.11402E+18,1,대지,2545,,서울특별시 중구 황학동 2545,1.11403E+11,서울특별시 중구 청계천로,400,,1.11402E+24,롯데캐슬베네치아,서울특별시 중구 청계천로 400,100899,4572,,,,127.0214482,37.57080306
25757980,명동얼큰칼국수,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012700,명동2가,1.11401E+18,1,대지,97,2,서울특별시 중구 명동2가 97-2,1.11403E+11,서울특별시 중구 남대문로,62,,1.11401E+24,,서울특별시 중구 남대문로 62,100810,4535,,1,,126.9819614,37.56261206
25858711,도치피자장충점,장충점,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114058000,장충동,1114014400,장충동2가,1.11401E+18,1,대지,24,29,서울특별시 중구 장충동2가 24-29,1.11404E+11,서울특별시 중구 동호로24길,27,6,1.11401E+24,,서울특별시 중구 동호로24길 27-6,100855,4617,,1,,127.0050102,37.56066408
25861588,들국화,,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114061500,신당동,1114016200,신당동,1.11402E+18,1,대지,301,12,서울특별시 중구 신당동 301-12,1.11404E+11,서울특별시 중구 퇴계로76길,61,,1.11402E+24,,서울특별시 중구 퇴계로76길 61,100823,4611,,1,,127.0147087,37.56251146
4000882,파리바게뜨,신당점,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114065000,신당5동,1114016200,신당동,1.11402E+18,1,대지,140,34,서울특별시 중구 신당동 140-34,1.11404E+11,서울특별시 중구 다산로44길,53,,1.11402E+24,삼원상가,서울특별시 중구 다산로44길 53,100819,4578,,1,,127.0199585,37.5652673
21860727,국대떡볶이,명동점,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012800,남산동1가,1.11401E+18,1,대지,5,1,서울특별시 중구 남산동1가 5-1,1.11404E+11,서울특별시 중구 퇴계로18길,8,,1.11401E+24,,서울특별시 중구 퇴계로18길 8,100041,4631,,,,126.9853868,37.56042498
23270811,크레이지떡동대문밀리오레점,동대문밀리오레점,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114059000,광희동,1114014800,을지로6가,1.11401E+18,1,대지,18,84,서울특별시 중구 을지로6가 18-84,1.11404E+11,서울특별시 중구 을지로43길,30,,1.11401E+24,미진빌딩,서울특별시 중구 을지로43길 30,100851,4564,,1,,127.0074782,37.56745169
25302903,그집국수남대문,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114054000,회현동,1114011800,남대문로5가,1.11401E+18,1,대지,537,,서울특별시 중구 남대문로5가 537,1.11403E+11,서울특별시 중구 퇴계로,10,,1.11401E+24,메트로타워,서울특별시 중구 퇴계로 10,100722,4637,,1,하,126.9743289,37.55626573
21888630,조스샌드위치,서소문점,Q,음식,Q07,패스트푸드,Q07A05,샌드위치전문점,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114052000,소공동,1114016600,서소문동,1.11402E+18,1,대지,53,3,서울특별시 중구 서소문동 53-3,1.11404E+11,서울특별시 중구 서소문로11길,6,,1.11402E+24,,서울특별시 중구 서소문로11길 6,100813,4515,,,,126.9731028,37.56313904
20572858,이삭토스트,명동점,Q,음식,Q07,패스트푸드,Q07A10,토스트전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114055000,명동,1114012400,충무로1가,1.11401E+18,1,대지,24,41,서울특별시 중구 충무로1가 24-41,1.11403E+11,서울특별시 중구 퇴계로,105,,1.11401E+24,,서울특별시 중구 퇴계로 105,100011,4536,,1,,126.9834454,37.56085881
21889376,파리바게뜨신당역아크로점,신당역아크로점,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114067000,황학동,1114016500,황학동,1.11402E+18,1,대지,2523,,서울특별시 중구 황학동 2523,1.11403E+11,서울특별시 중구 퇴계로,447,,1.11402E+24,황학아크로타워,서울특별시 중구 퇴계로 447,100871,4575,,1,,127.0217382,37.56593983
25722791,오가분식,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114059000,광희동,1114014700,쌍림동,1.11401E+18,1,대지,106,2,서울특별시 중구 쌍림동 106-2,1.11403E+11,서울특별시 중구 동호로,320,1,1.11401E+24,,서울특별시 중구 동호로 320-1,100400,4615,,2,,127.0029202,37.56291708
25889829,콜드스톤크리머리,서울스퀘어점,Q,음식,Q07,패스트푸드,Q07A07,아이스크림판매,I56191,제과점업,11,서울특별시,11140,중구,1114054000,회현동,1114011800,남대문로5가,1.11401E+18,1,대지,541,,서울특별시 중구 남대문로5가 541,1.11402E+11,서울특별시 중구 한강대로,416,,1.11401E+24,서울스퀘어,서울특별시 중구 한강대로 416,100714,4637,,23,,126.9737396,37.55549473
25875124,피자모레,명동점,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114055000,명동,1114012700,명동2가,1.11401E+18,1,대지,85,5,서울특별시 중구 명동2가 85-5,1.11403E+11,서울특별시 중구 남대문로,68,1,1.11401E+24,,서울특별시 중구 남대문로 68-1,100810,4535,,,,126.9822587,37.56322733
25687305,미스터피자,소공롯데점,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114052000,소공동,1114011100,소공동,1.11401E+18,1,대지,1,,서울특별시 중구 소공동 1,1.11403E+11,서울특별시 중구 을지로,30,,1.11401E+24,롯데호텔,서울특별시 중구 을지로 30,100721,4533,,35,,126.9809849,37.56533379
25788043,명동칼국수,약수점,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114063500,약수동,1114016200,신당동,1.11402E+18,1,대지,348,135,서울특별시 중구 신당동 348-135,1.11404E+11,서울특별시 중구 동호로10길,21,,1.11402E+24,광영빌딩,서울특별시 중구 동호로10길 21,100453,4590,,7,,127.0117637,37.55495411
