상호명,상권업종중분류명,위도,경도
명동김밥,분식,37.56306317,126.9851699
옹헤야,제과제빵떡케익,37.56836345,126.9822794
조해산업,패스트푸드,37.56284105,126.9855351
즉석칼국수,분식,37.56305776,126.9855888
뚜레쥬르명동역점,제과제빵떡케익,37.56116968,126.9860672
퀴즈노스,패스트푸드,37.56471871,126.9838457
민지네분식,분식,37.55334274,127.0087179
빵박사,제과제빵떡케익,37.55267264,127.0104696
야미가,분식,37.56268829,127.0057077
요산요수,분식,37.56272327,126.9739913
행복도시락,분식,37.56286234,127.0211446
레드망고,패스트푸드,37.56347982,127.0152166
빵굼터,제과제빵떡케익,37.55624674,127.0111807
사보르,분식,37.56531799,127.0217237
충무집김밥,분식,37.5670073,126.9796603
먹보대장,분식,37.56589884,126.9838184
마마스,패스트푸드,37.56733037,126.9795088
식빵가게엘린,제과제빵떡케익,37.56110884,127.0183152
경서기네칼국수,분식,37.56437048,126.9884121
겐로쿠우동,분식,37.56139791,126.9832683
한가람,분식,37.56250459,126.9789068
지팡이아이스크림,패스트푸드,37.56293792,126.9852735
마포만두,분식,37.56680753,126.9794819
현선이네,분식,37.56377885,126.9720753
땡초엽기떡볶이,분식,37.56306317,126.9851699
오봉도시락,패스트푸드,37.5635826,126.9692029
북촌손만두,분식,37.56728261,127.0077295
졍동국시,분식,37.56785054,126.9698912
파리바게뜨,제과제빵떡케익,37.56713039,126.9803492
olleh,분식,37.56478795,126.9762156
던킨도너츠,패스트푸드,37.56503514,126.9881654
제임스시카고피자,패스트푸드,37.56180878,126.9838966
써브웨이샌드위치,패스트푸드,37.56108863,126.9945007
청키면가,분식,37.56798401,126.9811186
봉평메밀촌,분식,37.56260762,127.0186804
빚은,제과제빵떡케익,37.56196274,126.9766844
필동닭칼국수,분식,37.56021442,126.9965951
한솥,패스트푸드,37.55787769,126.9867456
비원,분식,37.55871653,126.9764005
로마루PC방,분식,37.5652673,127.0199585
파리바게뜨,제과제빵떡케익,37.55428983,126.9740278
브레드디,제과제빵떡케익,37.56189424,127.0174107
브레드원,제과제빵떡케익,37.56135101,126.9935691
김밥천국,분식,37.56054314,126.9844571
파리바게뜨정동점,제과제빵떡케익,37.56781649,126.9690879
써브웨이순화동라마다점,패스트푸드,37.56025531,126.9720218
화수분카페앤베이커리,제과제빵떡케익,37.55333981,127.0094422
써브웨이,패스트푸드,37.56642443,126.9894144
명동역남산파리바게뜨,제과제빵떡케익,37.56054654,126.9848532
서브웨이,패스트푸드,37.55821295,126.981727
곰국시집,분식,37.56305776,126.9855888
크레이지떡,분식,37.56216516,126.9855217
도미노피자,패스트푸드,37.55757291,127.0124535
파리바게뜨충무로점,제과제빵떡케익,37.56082859,126.9925348
김밥까페,분식,37.56127238,127.0055567
신라명과동대문점,제과제빵떡케익,37.56764964,127.008517
듬뿍듬뿍분식점,분식,37.56403864,127.0206538
명동충무김밥,분식,37.56342326,126.9851311
화덕피자앤떡볶이,분식,37.56300625,126.9837898
파파존스피자,패스트푸드,37.5538725,127.0117214
가마솥김밥,분식,37.5670073,126.9796603
와플루이,패스트푸드,37.5629435,126.991182
포아란,분식,37.56741917,127.0165118
명동할머니국수,분식,37.56478991,126.9764419
가메골손왕만두,분식,37.5657952,127.0195102
오봉도시락남산회현역SK리더스뷰,패스트푸드,37.55911313,126.9805829
김밥천국,분식,37.55981795,127.0137028
파파이스,패스트푸드,37.56113619,126.9947944
던킨도너츠,패스트푸드,37.554719,126.9695061
반반국수,분식,37.5603667,126.992258
퀴즈노스,패스트푸드,37.55549473,126.9737396
바르다김선생신세계백화점,분식,37.56090951,126.9809659
맥도날드,패스트푸드,37.554719,126.9695061
크라제버거,패스트푸드,37.56887711,127.0087611
손칼국수전문점,분식,37.56485747,127.0054298
마복림할머니막내아들네,분식,37.56291099,127.0150769
배스킨라빈스31,패스트푸드,37.56469228,126.9766131
김밥천국,분식,37.56521334,127.0221439
롯데리아,패스트푸드,37.56747466,127.0080665
크림팝,분식,37.56533379,126.9809849
원더브레드,제과제빵떡케익,37.56283588,126.9901873
소공분식,분식,37.56338564,126.9797211
던킨도너츠,패스트푸드,37.56647389,126.9794525
르풀,제과제빵떡케익,37.56605186,126.9723496
한솥정동점,패스트푸드,37.56797182,126.9693348
우리집칼국수,분식,37.56342852,126.9732346
미스터피자,패스트푸드,37.55459886,127.0102291
배스킨라빈스31,패스트푸드,37.56314056,126.9847387
크라제버거,패스트푸드,37.56174806,126.9841691
고려당뺄띠에,제과제빵떡케익,37.56780657,126.9762309
마복림할머니떡볶이,분식,37.5632084,127.0150843
JUN,분식,37.56367417,127.0072227
사보로김밥전문점,분식,37.56531799,127.0217237
맛다해물칼국수해물찜,분식,37.55152319,127.0077121
스티키핑거스베이커리,제과제빵떡케익,37.56090951,126.9809659
손칼국수냉면,분식,37.55882182,126.9781534
버거킹,패스트푸드,37.57080306,127.0214482
배스킨라빈스31,패스트푸드,37.56881486,126.9782094
문가네김밥,분식,37.56284798,127.0161644
종로김밥,분식,37.54720778,127.0056418
고향손칼국수전문,분식,37.55927615,127.0049721
롯데리아,패스트푸드,37.56644403,127.006586
왕산골왕만두,분식,37.56047376,126.9774631
패스트리부티크신라호텔,제과제빵떡케익,37.55774919,127.0076861
나뚜루,패스트푸드,37.55502003,127.0110271
북해빙수,분식,37.56668133,127.0144726
민속식당,분식,37.55859482,126.9779528
으니의수랏간,분식,37.5494512,127.0077622
백만불식품,분식,37.56739145,126.9960913
엄마손분식,분식,37.56212742,127.0129593
벌떡,분식,37.56213381,127.0062018
뚜레쥬르,제과제빵떡케익,37.56396494,127.0032345
김밥천국,분식,37.5678646,126.9694382
다동분식,분식,37.56682522,126.9815306
전사랑,분식,37.56105957,126.99638
뚜레쥬르국립중앙의료원점,제과제빵떡케익,37.56771412,127.0054711
미스터피자,패스트푸드,37.56875433,126.9795459
스쿨푸드,분식,37.56340378,126.9828675
가쯔야,분식,37.56785395,126.981709
김밥천국,분식,37.56306317,126.9851699
김밥이랑떡볶이랑,분식,37.5612631,126.9875034
명동칼국수,분식,37.55380945,126.9757773
충무칼국수,분식,37.56524934,126.9900302
목우촌,분식,37.54720778,127.0056418
에릭케제르,제과제빵떡케익,37.56368652,126.9749289
모리도너츠,제과제빵떡케익,37.56462428,126.9843903
맥도날드서울시청점,패스트푸드,37.56680753,126.9794819
제일상회,분식,37.56463622,126.994204
파리바게뜨,제과제빵떡케익,37.56242525,126.9959203
다락방,분식,37.56679211,126.9818706
신당동떡스떡스,분식,37.56185991,126.9856503
김학정과자점,제과제빵떡케익,37.55388986,127.0094915
김밥천국,분식,37.5605445,126.9846155
슈니발렌,제과제빵떡케익,37.56533379,126.9809849
마포만두,분식,37.56594448,126.9922961
양지국수보쌈,분식,37.56475519,127.0029183
배스킨라빈스31,패스트푸드,37.57080306,127.0214482
